Abate	reduce in intensity
Abjure	renounce; swear to refrain from something
Blandishment	words used to coax or flatter [blandish (v)]
Boor	ill-mannered person [boorish (a)]
Cardinal	1. high ranking church official; 2. major, important
Deliberate	1. slow (a); 2. to think over (v); 3. on purpose (a)
Equivocation	speaking ambiguously [equivocate (v), equivocal (a)]
Feckless	feeble; helpless; lacking in initiative
Imperturbability	quality of being calm and not easily disturbed [imperturbable (a)]
Meretricious	falsely attractive; tawdry
Augury	prediction, looking for omens [augur (v)]
Boycott	refuse to have dealings with
Glib	slick; superficial esp. in speech
Incise	cut into [incision (n); incisive (a)]
Moralistic	concerned with morals [moralize (v)]
Ostracism	shunning; social isolation [ostracize (v)]
Penchant	inclination; leaning; tendency; predilection
Rarefy	make less dense [rarefaction (n)]
Repine	fret; be discontented
Stipulate	specify [stipulation (n)]
Diaphanous	transparent; thin and delicate
Feint	pretended attack; a move intended to deceive
Inured	hardened; habituated
Mettlesome	spirited [mettle (n)]
Puissance	power
Recondite	obscure
Stygian	very dark
Touting	advertising; supporting [tout (v)]
Virtuosity	skill, expertise [virtuoso (n); virtuosi (n.pl)]
Volubility	excessive talkativeness [voluble (a)]
Caret	punctuation mark signifying omission
Contiguous	adjacent; touching; abutting [contiguity (n)]
Damp	(used of vibration) reduce in extent
Ellipsis	omission of essential words
Extirpation	wiping out; complete destruction [extirpate (v)]
Foppish	behaving or dressing like a dandy; excessively concerned with fashion
Gaffe	blunder; social mistake
Hortatory	encouraging; exhorting
Opprobrious	expressing great scorn [opprobrium (n)]
Recumbent	reclining; lying down
Ambidextrous	able to use both left and right hands equally well
Culpability	guilt [culpable = blameworthy]
Discernment	judgment; perceptiveness
Encomium	praise
Inveigle	coax; cajole; wheedle; entice
Minatory	threatening
Ossified	turned to bone; become rigid [ossification (n)]
Plumb	measure depth of (v); exact (a. slang)
Quintessential	most typical; the perfect example of [quintessence (n)]
Runic	mysterious; magical
Accretion	accumulation of matter; growth produced by adding from the outside
Anachronistic	occurring in the wrong time period [anachronism (n)]
Chronic	long lasting (often used for diseases in which case the opposite is acute)
Churlishness	rudeness; ill-mannered behavior
Demagogue	mob leader (who appeals to base instincts) [demagogy/demagoguery (n)]
Effrontery	daring; audacity (has a negative connotation)
Idyll	story or incident in peaceful or ideal setting [idyllic (a)]
Interregnum	interval between reigns or governments
Nugatory	of minor significance; futile
Sinecure	job which pays salary but requiring little effort
Anodized	electroplated; coated with thin layer of metal
Aphoristic	expressed tersely [aphorism (n) = short statement; maxim]
Canonical	orthodox [canon (n) = set of accepted works]
Commensurate	equal in significance
Dexterity	skill, esp. with hands [dexterous (a)]
Extant	still in existence (opposite of extinct)
Impugned	challenged; called into question
Probity	uprightness; honesty
Raconteur	person who relates a story
Solicitous	kindly; expressing care and concern
Amalgamate	join; consolidate [amalgamation (n)]
Baleful	evil
Coerce	force [coercion (n); coercing (a)]
Inchoate	undeveloped; nascent
Iniquitous	evil; unjust [iniquity (n)]
Libertine	dissolute person; prodigal
Millinery	hats and hat-making
Natty	neat; dapper; smart
Occluded	obscured; blocked
Sidereal	of or related to stars
Avaricious	greedy for money
Extirpate	wipe out totally
Halcyon	peaceful and happy; calm (esp. of summer weather)
List (v)	1. to lean to one side; 2. to write in order
Maudlin	sad; sentimental; inclined to weep
Refulgent	glowing; radiant
Subliminal	below the threshold of consciousness
Testiness	irritability; irascibility [testy (a)]
Vituperate	attack bitterly
Whittle	1. carve with knife; 2. reduce step by step
Colander	bowl with holes used to drain vegetables etc.
Cumbersome	bulky; difficult to carry [encumber = to burden]
Diaphanous	transparent; thin and delicate
Dispatch	1. send (v); 2. speed; celerity (n)
Epistemology	theory of knowledge
Froward	stubborn; wayward; disobedient
Supine	lying flat on one?s back
Throwback	exhibiting primitive, or ancestral, traits
Untoward	unexpected
Verisimilar	true to life; giving the appearance of reality
Abysmal	very deep; very bad
Approbation	approval [opp. disapprobation]
Bent (n)	inclination; aptitude
Cadge	get by begging
Debacle	disaster
Extemporize	speak without preparation or rehearsal [extemporaneous (a)]
Incumbents	occupiers of a job or position
Lambaste	attack verbally
Noisome	disgusting
Pastiche	work (usually artistic) which imitates, or is composed of parts taken from varied sources
Arboreal	living in trees; concerned with trees
Centrifuge	device to separate substances by spinning them at high speed
Cloistered	isolated
Disabuse	make someone aware of an error in thinking
Engendering	causing; bringing into being [engender (v)]
Intemperate	excessive; immoderate [intemperance (n)]
Lugubrious	sad; gloomy
Nonplussed	confused
Pedagogy	science of education; teaching
Satiate	satisfy; fill completely [satiable (a); satiation (n)]
Slake	quench; satisfy
Artless	without effort; without trickery; simple
Comeliness	beauty; prettiness [comely (a)]
Doff	take off (esp. of a hat)
Don	put on (esp. of clothes)
Erudition	learning; scholarly knowledge [erudite (a)]
Plaintive	sad; mournful
Suborn	bribe
Tendentious	dogmatic; biased
Tortuous	indirect; winding
Verbiage	excessive or meaningless wordiness
Atonement	making amends for sin or crime [atone (v)]
Complaisance	flexibility; willingness to please [complaisant (a)]
Daguerreotype	forerunner of the photograph
Fawn	behave in a sycophantic way; grovel [fawning (a)]
Gregariousness	sociability; liking for crowds [gregarious (a)]
Nascent	emerging; newly formed
Paean	praise; tribute (esp. in song)
Reproof	scolding; criticism [reprove (v)]
Scurvy	1. disease due to lack of vitamin C; 2. contemptible; rascally
Tutelary	serving as a guardian [tutelage (n)]
Abscission	cutting; process causing leaves to fall off
Contentious	causing argument [contention (n); contend (v)]
Debilitating	weakening [debilitate (v)]
Foible	quirk; minor weakness
Importune	beg; solicit [importunate (a)]
Pertain	be relevant to [pertinent (a)]
Slew	glut; excess
Toady	sycophant; flatterer
Torrid	hot and steamy
Veracious	true [veracity (n)]
Asperity	using harsh or critical tone
Blowhard	boastful person
Disingenuous	crafty
Evanescent	short-lived [evanescence (n)]
Intangible	cannot be touched; abstract [intangibility (n)]
Labile	changing rapidly; unstable
Malapropism	use of similar sounding but incorrect word
Posture (v)	to put on an act
Proximate	immediate; nearest
Pugnacious	aggressive, ready to fight [pugnacity (n)]
Foreshadowed	indicated a future event [foreshadow (v)]
Gaucherie	awkwardness [gauche (a)]
Heterodox	unorthodox
Inscrutability	quality of being difficult to comprehend [inscrutable (a)]
Limerick	short amusing poem
Mannered	stylized; pretentious
Pluck (n)	courage
Sedulous	persevering; eager and thorough
Syllogism	type of logical reasoning
Vicissitude	unexpected change in fortune or circumstances
Acolyte	disciple; follower or attendant
Admonitory	scolding [admonition (n)]
Caprices	whimsies; fancies
Cornucopia	symbol (horn filled with fruit etc.) denoting natural abundance
Deferential	showing respect [deference (n); defer (v)]
Intractability	stubbornness; resistance [intractable (a)]
Luminary	eminent person
Minion	underling; servant
Undergird	support; strengthen
Vitiate	weaken; sap energy
Coterie	clique; small group with common interests
Denigrate	decry; criticize; belittle
Empirical	found by experiment or practice
Gainsay	contradict
Hyperbole	exaggeration [hyperbolic (a)]
Modest	1. bashful; unpretentious; 2. not excessive
Prolixity	wordiness [prolix (a)]
Rebus	puzzle in which pictures give clues
Sere	withered; old
Vulpine	like a fox [compare with bovine (cow-like); porcine (pig-like), etc.]
Corroborate	give supporting evidence [corroboration (n)]
Exacerbated	made worse [exacerbate (v); exacerbation (n)]
Exact (v)	to demand; extort
Faddish	whimsical; following a fashion
Hapless	unlucky
Misconstrue	put a wrong interpretation on something
Perennial	long-lasting
Rent	torn (past participle of the verb to rend)
Shard	fragment of pottery
Xenophobe	person afraid of foreigners
Alleviated	made less severe [alleviation (n); alleviate (v)]
Apostrophe	1. punctuation mark; 2. appeal to someone not present (a figure of speech)
